Starting Sample AI Mock script (Multi-Campaign). Target: http://localhost:3000/api/events
[00:06:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:16] Sent data for Promo Skincare Baru. Status: 200
[00:06:18] Sent data for Promo Skincare Baru. Status: 200
[00:06:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:28] Sent data for Promo Skincare Baru. Status: 200
[00:06:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:33] Sent data for Promo Skincare Baru. Status: 200
[00:06:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:37] Sent data for Promo Skincare Baru. Status: 200
[00:06:40] Sent data for Promo Skincare Baru. Status: 200
[00:06:42] Sent data for Promo Skincare Baru. Status: 200
[00:06:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:53] Sent data for Promo Skincare Baru. Status: 200
[00:06:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:03] Sent data for Promo Skincare Baru. Status: 200
[00:07:06] Sent data for Promo Skincare Baru. Status: 200
[00:07:08] Sent data for Promo Skincare Baru. Status: 200
[00:07:10] Sent data for Promo Skincare Baru. Status: 200
[00:07:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:16] Sent data for Promo Skincare Baru. Status: 200
[00:07:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:20] Sent data for Promo Skincare Baru. Status: 200
[00:07:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:23] Sent data for Promo Skincare Baru. Status: 200
[00:07:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:28] Sent data for Promo Skincare Baru. Status: 200
[00:07:29] Sent data for Promo Skincare Baru. Status: 200
[00:07:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:34] Sent data for Promo Skincare Baru. Status: 200
[00:07:36] Sent data for Promo Skincare Baru. Status: 200
[00:07:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:40] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:07:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:07:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:13] Sent data for Promo Skincare Baru. Status: 200
[00:08:14] Sent data for Promo Skincare Baru. Status: 200
[00:08:16] Sent data for Promo Skincare Baru. Status: 200
[00:08:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:26] Sent data for Promo Skincare Baru. Status: 200
[00:08:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:33] Sent data for Promo Skincare Baru. Status: 200
[00:08:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:38] Sent data for Promo Skincare Baru. Status: 200
[00:08:40] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:08:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:46] Sent data for Promo Skincare Baru. Status: 200
[00:08:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:08:55] Sent data for Promo Skincare Baru. Status: 200
[00:08:57] Sent data for Promo Skincare Baru. Status: 200
[00:08:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:03] Sent data for Promo Skincare Baru. Status: 200
[00:09:06] Sent data for Promo Skincare Baru. Status: 200
[00:09:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:11] Sent data for Promo Skincare Baru. Status: 200
[00:09:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:20] Sent data for Promo Skincare Baru. Status: 200
[00:09:22] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:27] Sent data for Promo Skincare Baru. Status: 200
[00:09:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:31] Sent data for Promo Skincare Baru. Status: 200
[00:09:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:39] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:09:48] Sent data for Promo Skincare Baru. Status: 200
[00:09:50] Sent data for Promo Skincare Baru. Status: 200
[00:09:53] Sent data for Promo Skincare Baru. Status: 200
[00:09:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:09:58] Sent data for Promo Skincare Baru. Status: 200
[00:09:59] Sent data for Promo Skincare Baru. Status: 200
[00:10:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:07] Sent data for Promo Skincare Baru. Status: 200
[00:10:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:12] Sent data for Promo Skincare Baru. Status: 200
[00:10:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:25] Sent data for Promo Skincare Baru. Status: 200
[00:10:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:31] Sent data for Promo Skincare Baru. Status: 200
[00:10:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:36] Sent data for Promo Skincare Baru. Status: 200
[00:10:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:47] Sent data for Promo Skincare Baru. Status: 200
[00:10:49] Sent data for Promo Skincare Baru. Status: 200
[00:10:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:51] Sent data for Promo Skincare Baru. Status: 200
[00:10:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:10:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:10:56] Sent data for Promo Skincare Baru. Status: 200
[00:10:57] Sent data for Promo Skincare Baru. Status: 200
[00:11:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:06] Sent data for Promo Skincare Baru. Status: 200
[00:11:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:10] Sent data for Promo Skincare Baru. Status: 200
[00:11:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:15] Sent data for Promo Skincare Baru. Status: 200
[00:11:18] Sent data for Promo Skincare Baru. Status: 200
[00:11:20] Sent data for Promo Skincare Baru. Status: 200
[00:11:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:27] Sent data for Promo Skincare Baru. Status: 200
[00:11:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:32] Sent data for Promo Skincare Baru. Status: 200
[00:11:35] Sent data for Promo Skincare Baru. Status: 200
[00:11:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:40] Sent data for Promo Skincare Baru. Status: 200
[00:11:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:45] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:47] Sent data for Promo Skincare Baru. Status: 200
[00:11:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:51] Sent data for Promo Skincare Baru. Status: 200
[00:11:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:11:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:11:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:01] Sent data for Promo Skincare Baru. Status: 200
[00:12:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:11] Sent data for Promo Skincare Baru. Status: 200
[00:12:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:15] Sent data for Promo Skincare Baru. Status: 200
[00:12:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:19] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:32] Sent data for Promo Skincare Baru. Status: 200
[00:12:35] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:44] Sent data for Promo Skincare Baru. Status: 200
[00:12:46] Sent data for Promo Skincare Baru. Status: 200
[00:12:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:12:54] Sent data for Promo Skincare Baru. Status: 200
[00:12:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:12:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:00] Sent data for Promo Skincare Baru. Status: 200
[00:13:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:05] Sent data for Promo Skincare Baru. Status: 200
[00:13:06] Sent data for Promo Skincare Baru. Status: 200
[00:13:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:13:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:12] Sent data for Promo Skincare Baru. Status: 200
[00:13:14] Sent data for Peluncuran Minuman Energi. Status: 200
[00:13:16] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:18] Sent data for Promo Skincare Baru. Status: 200
[00:13:21] Sent data for Promo Skincare Baru. Status: 200
[00:13:22] Sent data for Promo Skincare Baru. Status: 200
[00:13:24] Sent data for Promo Skincare Baru. Status: 200
[00:13:25] Sent data for Promo Skincare Baru. Status: 200
[00:13:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:13:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:13:34] Sent data for Promo Skincare Baru. Status: 200
[00:13:35] Sent data for Promo Skincare Baru. Status: 200
[00:13:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:38] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:42] Sent data for Promo Skincare Baru. Status: 200
[00:13:44] Sent data for Promo Skincare Baru. Status: 200
[00:13:46] Sent data for Promo Skincare Baru. Status: 200
[00:13:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:51] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:13:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:13:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:14:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:14:04] Sent data for Promo Skincare Baru. Status: 200
[00:14:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:09] Sent data for Promo Skincare Baru. Status: 200
[00:14:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:14:20] Sent data for Promo Skincare Baru. Status: 200
[00:14:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:22] Sent data for Promo Skincare Baru. Status: 200
[00:14:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:14:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:29] Sent data for Promo Skincare Baru. Status: 200
[00:14:31] Sent data for Promo Skincare Baru. Status: 200
[00:14:34] Sent data for Promo Skincare Baru. Status: 200
[00:14:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:39] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:40] Sent data for Promo Skincare Baru. Status: 200
[00:14:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:44] Sent data for Promo Skincare Baru. Status: 200
[00:14:47] Sent data for Promo Skincare Baru. Status: 200
[00:14:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:51] Sent data for Promo Skincare Baru. Status: 200
[00:14:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:14:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:14:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:02] Sent data for Promo Skincare Baru. Status: 200
[00:15:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:05] Sent data for Promo Skincare Baru. Status: 200
[00:15:08] Sent data for Promo Skincare Baru. Status: 200
[00:15:10] Sent data for Promo Skincare Baru. Status: 200
[00:15:13] Sent data for Promo Skincare Baru. Status: 200
[00:15:15] Sent data for Promo Skincare Baru. Status: 200
[00:15:16] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:25] Sent data for Promo Skincare Baru. Status: 200
[00:15:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:29] Sent data for Promo Skincare Baru. Status: 200
[00:15:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:32] Sent data for Promo Skincare Baru. Status: 200
[00:15:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:45] Sent data for Promo Skincare Baru. Status: 200
[00:15:47] Sent data for Promo Skincare Baru. Status: 200
[00:15:49] Sent data for Promo Skincare Baru. Status: 200
[00:15:52] Sent data for Promo Skincare Baru. Status: 200
[00:15:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:15:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:15:55] Sent data for Promo Skincare Baru. Status: 200
[00:15:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:01] Sent data for Promo Skincare Baru. Status: 200
[00:16:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:08] Sent data for Promo Skincare Baru. Status: 200
[00:16:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:15] Sent data for Promo Skincare Baru. Status: 200
[00:16:17] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:26] Sent data for Promo Skincare Baru. Status: 200
[00:16:27] Sent data for Promo Skincare Baru. Status: 200
[00:16:29] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:31] Sent data for Promo Skincare Baru. Status: 200
[00:16:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:36] Sent data for Promo Skincare Baru. Status: 200
[00:16:38] Sent data for Promo Skincare Baru. Status: 200
[00:16:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:16:47] Sent data for Promo Skincare Baru. Status: 200
[00:16:48] Sent data for Promo Skincare Baru. Status: 200
[00:16:49] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:52] Sent data for Promo Skincare Baru. Status: 200
[00:16:53] Sent data for Promo Skincare Baru. Status: 200
[00:16:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:16:58] Sent data for Promo Skincare Baru. Status: 200
[00:16:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:00] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:06] Sent data for Promo Skincare Baru. Status: 200
[00:17:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:09] Sent data for Promo Skincare Baru. Status: 200
[00:17:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:12] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:16] Sent data for Promo Skincare Baru. Status: 200
[00:17:18] Sent data for Promo Skincare Baru. Status: 200
[00:17:19] Sent data for Promo Skincare Baru. Status: 200
[00:17:21] Sent data for Promo Skincare Baru. Status: 200
[00:17:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:25] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:28] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:30] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:33] Sent data for Promo Skincare Baru. Status: 200
[00:17:35] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:36] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:39] Sent data for Promo Skincare Baru. Status: 200
[00:17:41] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:43] Sent data for Promo Skincare Baru. Status: 200
[00:17:44] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:45] Sent data for Promo Skincare Baru. Status: 200
[00:17:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:51] Sent data for Promo Skincare Baru. Status: 200
[00:17:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:53] Sent data for Peluncuran Minuman Energi. Status: 200
[00:17:56] Sent data for Iklan Mobil Listrik. Status: 200
[00:17:59] Sent data for Promo Skincare Baru. Status: 200
[00:18:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:03] Sent data for Promo Skincare Baru. Status: 200
[00:18:05] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:07] Sent data for Promo Skincare Baru. Status: 200
[00:18:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:15] Sent data for Promo Skincare Baru. Status: 200
[00:18:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:23] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:28] Sent data for Promo Skincare Baru. Status: 200
[00:18:31] Sent data for Promo Skincare Baru. Status: 200
[00:18:33] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:35] Sent data for Promo Skincare Baru. Status: 200
[00:18:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:42] Sent data for Promo Skincare Baru. Status: 200
[00:18:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:47] Sent data for Promo Skincare Baru. Status: 200
[00:18:49] Sent data for Promo Skincare Baru. Status: 200
[00:18:50] Sent data for Promo Skincare Baru. Status: 200
[00:18:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:18:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:18:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:00] Sent data for Promo Skincare Baru. Status: 200
[00:19:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:14] Sent data for Promo Skincare Baru. Status: 200
[00:19:16] Sent data for Promo Skincare Baru. Status: 200
[00:19:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:22] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:24] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:28] Sent data for Promo Skincare Baru. Status: 200
[00:19:30] Sent data for Promo Skincare Baru. Status: 200
[00:19:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:34] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:36] Sent data for Promo Skincare Baru. Status: 200
[00:19:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:39] Sent data for Promo Skincare Baru. Status: 200
[00:19:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:47] Sent data for Promo Skincare Baru. Status: 200
[00:19:49] Sent data for Iklan Mobil Listrik. Status: 200
[00:19:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:53] Sent data for Promo Skincare Baru. Status: 200
[00:19:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:19:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:01] Sent data for Promo Skincare Baru. Status: 200
[00:20:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:09] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:11] Sent data for Promo Skincare Baru. Status: 200
[00:20:14] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:16] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:19] Sent data for Promo Skincare Baru. Status: 200
[00:20:20] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:25] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:29] Sent data for Promo Skincare Baru. Status: 200
[00:20:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:34] Sent data for Promo Skincare Baru. Status: 200
[00:20:37] Sent data for Promo Skincare Baru. Status: 200
[00:20:38] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:39] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:41] Sent data for Promo Skincare Baru. Status: 200
[00:20:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:20:44] Sent data for Promo Skincare Baru. Status: 200
[00:20:46] Sent data for Promo Skincare Baru. Status: 200
[00:20:47] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:49] Sent data for Promo Skincare Baru. Status: 200
[00:20:51] Sent data for Promo Skincare Baru. Status: 200
[00:20:53] Sent data for Promo Skincare Baru. Status: 200
[00:20:55] Sent data for Promo Skincare Baru. Status: 200
[00:20:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:20:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:00] Sent data for Promo Skincare Baru. Status: 200
[00:21:03] Sent data for Peluncuran Minuman Energi. Status: 200
[00:21:06] Sent data for Iklan Mobil Listrik. Status: 200
